INFO:root:Loaded ViT-B-16-plus-240 model config.
INFO:root:Loading pretrained ViT-B-16-plus-240 weights (laion400m_e32).
DEBUG:root:Letter: W, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for WE: 5
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for SI: 2
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Final score for SIG: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Final score for SIP: 5
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SIPE: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: W, Base Score: 4
DEBUG:root:Final score for SEW: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Final score for SEL: 3
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: W, Base Score: 4
DEBUG:root:Final score for SPEW: 9
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SPUE: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for SPOOL: 12
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: R, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied length bonus, new score: 18
DEBUG:root:Final score for SPORAL: 18
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Final score for SPA: 5
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SPAE: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: R, Base Score: 1
DEBUG:root:Final score for SPAR: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: R, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 19
DEBUG:root:Final score for SPARGE: 19
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Final score for SUP: 5
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SUPE: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SUE: 3
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: R, Base Score: 1
DEBUG:root:Applied length bonus, new score: 11
DEBUG:root:Final score for SUGAR: 11
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for SUGH: 8
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for IS: 2
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for GI: 3
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for GIS: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Final score for GIP: 6
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for GIPS: 7
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for GIE: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 11
DEBUG:root:Final score for GUISE: 11
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: R, Base Score: 1
DEBUG:root:Final score for GUAR: 5
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: R, Base Score: 1
DEBUG:root:Final score for GEAR: 5
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: W, Base Score: 4
DEBUG:root:Final score for EW: 5
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for ES: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Final score for EL: 2
DEBUG:root:Letter: P, Base Score: 3
DEBUG:root:Letter: S, Base Score: 1
